run_id,fault_type,scenario,data_source,t_rel,req_count,err_rate,p50_ms,p95_ms,max_ms,active_pods,p50_ratio,tail_ratio
s2_config_err_01,config_error,2,measured,-20.6,7,0.0,195.0,363.5,363.5,3,1.723,1.864
s2_config_err_01,config_error,2,measured,-19.6,42,0.0,118.9,214.2,244.1,3,1.05,1.802
s2_config_err_01,config_error,2,measured,-18.6,42,0.0,131.0,224.6,246.2,3,1.157,1.715
s2_config_err_01,config_error,2,measured,-17.6,42,0.0,138.7,315.0,387.7,3,1.225,2.271
s2_config_err_01,config_error,2,measured,-16.6,42,0.0238,127.7,178.8,193.5,3,1.128,1.4
s2_config_err_01,config_error,2,measured,-15.6,42,0.0,137.9,221.6,244.4,3,1.218,1.607
s2_config_err_01,config_error,2,measured,-14.6,41,0.0,110.5,197.5,249.7,3,0.976,1.787
s2_config_err_01,config_error,2,measured,-13.6,43,0.0,111.3,169.2,174.8,3,0.983,1.52
s2_config_err_01,config_error,2,measured,-12.6,41,0.0,163.2,267.7,315.2,3,1.442,1.64
s2_config_err_01,config_error,2,measured,-11.6,42,0.0,233.2,685.5,744.5,3,2.06,2.94
s2_config_err_01,config_error,2,measured,-10.6,43,0.0,257.8,714.3,744.0,3,2.277,2.771
s2_config_err_01,config_error,2,measured,-9.6,42,0.0,130.7,490.7,505.6,3,1.155,3.754
s2_config_err_01,config_error,2,measured,-8.6,41,0.0,112.2,212.7,240.0,3,0.991,1.896
s2_config_err_01,config_error,2,measured,-7.6,42,0.0,108.6,166.8,214.0,3,0.959,1.536
s2_config_err_01,config_error,2,measured,-6.6,43,0.0,110.1,200.5,253.3,3,0.973,1.821
s2_config_err_01,config_error,2,measured,-5.6,41,0.0,108.5,157.8,160.8,3,0.958,1.454
s2_config_err_01,config_error,2,measured,-4.6,42,0.0,109.4,169.8,201.6,3,0.966,1.552
s2_config_err_01,config_error,2,measured,-3.6,43,0.0,109.8,160.8,166.9,3,0.97,1.464
s2_config_err_01,config_error,2,measured,-2.6,42,0.0,109.1,142.5,193.2,3,0.964,1.306
s2_config_err_01,config_error,2,measured,-1.6,41,0.0,111.6,180.7,214.7,3,0.986,1.619
s2_config_err_01,config_error,2,measured,-0.6,43,0.0,113.2,152.9,157.8,3,1.0,1.351
s2_config_err_01,config_error,2,measured,0.4,41,0.0,141.0,215.4,232.2,3,1.246,1.528
s2_config_err_01,config_error,2,measured,1.4,42,0.0,121.9,254.8,275.9,3,1.077,2.09
s2_config_err_01,config_error,2,measured,2.4,43,0.0,117.5,221.5,279.8,3,1.038,1.885
s2_config_err_01,config_error,2,measured,3.4,42,0.0,111.3,148.9,162.0,3,0.983,1.338
s2_config_err_01,config_error,2,measured,4.4,41,0.0,112.2,200.7,242.9,3,0.991,1.789
s2_config_err_01,config_error,2,measured,5.4,42,0.0,110.7,179.8,264.5,3,0.978,1.624
s2_config_err_01,config_error,2,measured,6.4,43,0.0,157.4,346.2,384.3,3,1.39,2.199
s2_config_err_01,config_error,2,measured,7.4,42,0.5,33.2,169.9,172.3,3,0.293,5.117
s2_config_err_01,config_error,2,measured,8.4,42,0.9286,4.9,108.3,111.2,2,0.043,22.102
s2_config_err_01,config_error,2,measured,9.4,42,1.0,5.2,11.2,22.6,0,0.046,2.154
s2_config_err_01,config_error,2,measured,10.4,41,1.0,5.6,9.4,11.6,0,0.049,1.679
s2_config_err_01,config_error,2,measured,11.4,42,1.0,4.6,10.2,15.0,0,0.041,2.217
s2_config_err_01,config_error,2,measured,12.4,43,1.0,5.1,12.0,32.8,0,0.045,2.353
s2_config_err_01,config_error,2,measured,13.4,41,1.0,4.7,7.6,8.9,0,0.042,1.617
s2_config_err_01,config_error,2,measured,14.4,42,1.0,5.1,9.6,13.4,0,0.045,1.882
s2_config_err_01,config_error,2,measured,15.4,42,1.0,4.8,9.4,11.5,0,0.042,1.958
s2_config_err_01,config_error,2,measured,16.4,42,1.0,5.9,9.8,10.1,0,0.052,1.661
s2_config_err_01,config_error,2,measured,17.4,43,1.0,5.4,10.6,12.7,0,0.048,1.963
s2_config_err_01,config_error,2,measured,18.4,42,1.0,5.6,8.8,14.7,0,0.049,1.571
s2_config_err_01,config_error,2,measured,19.4,42,1.0,6.5,12.3,14.8,0,0.057,1.892
s2_config_err_01,config_error,2,measured,20.4,41,1.0,6.0,11.1,20.5,0,0.053,1.85
s2_config_err_01,config_error,2,measured,21.4,42,1.0,6.4,11.3,16.4,0,0.057,1.766
s2_config_err_01,config_error,2,measured,22.4,42,1.0,6.2,10.2,21.5,0,0.055,1.645
s2_config_err_01,config_error,2,measured,23.4,42,1.0,6.7,9.0,9.4,0,0.059,1.343
s2_config_err_01,config_error,2,measured,24.4,42,1.0,5.6,9.9,11.4,0,0.049,1.768
s2_config_err_01,config_error,2,measured,25.4,42,1.0,5.6,11.0,16.7,0,0.049,1.964
s2_config_err_01,config_error,2,measured,26.4,42,1.0,7.3,32.4,72.8,0,0.064,4.438
s2_config_err_01,config_error,2,measured,27.4,43,1.0,4.7,22.8,61.0,0,0.042,4.851
s2_config_err_01,config_error,2,measured,28.4,42,1.0,4.8,9.2,11.8,0,0.042,1.917
s2_config_err_01,config_error,2,measured,29.4,42,1.0,5.7,27.0,45.5,0,0.05,4.737
s2_config_err_01,config_error,2,measured,30.4,41,1.0,4.6,7.5,8.4,0,0.041,1.63
s2_config_err_01,config_error,2,measured,31.4,43,1.0,4.2,9.1,11.0,0,0.037,2.167
s2_config_err_01,config_error,2,measured,32.4,41,1.0,5.3,12.1,34.7,0,0.047,2.283
s2_config_err_01,config_error,2,measured,33.4,42,1.0,5.8,117.6,162.7,0,0.051,20.276
s2_config_err_01,config_error,2,measured,34.4,42,1.0,5.4,13.5,23.3,0,0.048,2.5
s2_config_err_01,config_error,2,measured,35.4,42,1.0,5.0,9.8,13.6,0,0.044,1.96
s2_config_err_01,config_error,2,measured,36.4,42,1.0,4.3,8.0,10.3,0,0.038,1.86
s2_config_err_01,config_error,2,measured,37.4,43,1.0,5.8,34.2,93.8,0,0.051,5.897
s2_config_err_01,config_error,2,measured,38.4,41,1.0,4.8,15.5,19.6,0,0.042,3.229
s2_config_err_01,config_error,2,measured,39.4,43,1.0,4.3,6.7,10.3,0,0.038,1.558
s2_config_err_01,config_error,2,measured,40.4,42,1.0,5.9,12.7,18.2,0,0.052,2.153
s2_config_err_01,config_error,2,measured,41.4,42,1.0,4.8,9.6,15.2,0,0.042,2.0
s2_config_err_01,config_error,2,measured,42.4,41,1.0,5.6,13.7,30.0,0,0.049,2.446
s2_config_err_01,config_error,2,measured,43.4,43,1.0,4.1,9.2,23.7,0,0.036,2.244
s2_config_err_01,config_error,2,measured,44.4,41,1.0,4.9,10.1,14.5,0,0.043,2.061
s2_config_err_01,config_error,2,measured,45.4,42,1.0,6.1,9.3,11.1,0,0.054,1.525
s2_config_err_01,config_error,2,measured,46.4,43,1.0,5.2,9.0,13.6,0,0.046,1.731
s2_config_err_01,config_error,2,measured,47.4,41,1.0,5.9,10.0,27.0,0,0.052,1.695
s2_config_err_01,config_error,2,measured,48.4,43,1.0,5.2,10.2,18.5,0,0.046,1.962
s2_config_err_01,config_error,2,measured,49.4,41,1.0,4.8,11.8,16.5,0,0.042,2.458
s2_config_err_01,config_error,2,measured,50.4,42,1.0,4.8,8.8,9.6,0,0.042,1.833
s2_config_err_01,config_error,2,measured,51.4,42,1.0,6.2,13.1,21.7,0,0.055,2.113
s2_config_err_01,config_error,2,measured,52.4,42,1.0,4.4,6.9,7.3,0,0.039,1.568
s2_config_err_01,config_error,2,measured,53.4,42,1.0,5.7,11.5,17.8,0,0.05,2.018
s2_config_err_01,config_error,2,measured,54.4,42,1.0,6.0,10.2,18.6,0,0.053,1.7
s2_config_err_01,config_error,2,measured,55.4,43,1.0,6.8,9.8,10.9,0,0.06,1.441
s2_config_err_01,config_error,2,measured,56.4,41,1.0,5.4,10.5,12.6,0,0.048,1.944
s2_config_err_01,config_error,2,measured,57.4,42,1.0,4.5,7.7,23.5,0,0.04,1.711
s2_config_err_01,config_error,2,measured,58.4,43,1.0,5.7,11.9,15.5,0,0.05,2.088
s2_config_err_01,config_error,2,measured,59.4,35,1.0,5.3,8.9,9.2,0,0.047,1.679
s2_dep_down_01,dependency_down,2,measured,-21.1,7,0.0,147.7,228.0,228.0,3,0.932,1.544
s2_dep_down_01,dependency_down,2,measured,-20.1,42,0.0,169.1,282.7,321.5,3,1.068,1.672
s2_dep_down_01,dependency_down,2,measured,-19.1,43,0.0233,122.0,195.2,225.4,3,0.77,1.6
s2_dep_down_01,dependency_down,2,measured,-18.1,41,0.0,112.0,169.5,205.2,3,0.707,1.513
s2_dep_down_01,dependency_down,2,measured,-17.1,43,0.0,138.0,214.3,279.9,3,0.871,1.553
s2_dep_down_01,dependency_down,2,measured,-16.1,41,0.0,110.6,238.1,313.1,3,0.698,2.153
s2_dep_down_01,dependency_down,2,measured,-15.1,42,0.0,113.4,162.5,176.5,3,0.716,1.433
s2_dep_down_01,dependency_down,2,measured,-14.1,42,0.0,119.8,232.4,255.0,3,0.756,1.94
s2_dep_down_01,dependency_down,2,measured,-13.1,42,0.0,121.9,200.5,207.2,3,0.77,1.645
s2_dep_down_01,dependency_down,2,measured,-12.1,42,0.0,134.4,2030.3,2185.4,3,0.848,15.106
s2_dep_down_01,dependency_down,2,measured,-11.1,43,0.0,2233.3,2854.8,2877.2,3,14.099,1.278
s2_dep_down_01,dependency_down,2,measured,-10.1,41,0.0,2354.1,2460.0,2523.8,3,14.862,1.045
s2_dep_down_01,dependency_down,2,measured,-9.1,42,0.0,2071.9,2228.1,2266.0,3,13.08,1.075
s2_dep_down_01,dependency_down,2,measured,-8.1,42,0.0238,1681.0,2062.5,2214.1,3,10.612,1.227
s2_dep_down_01,dependency_down,2,measured,-7.1,42,0.0,1612.2,1755.4,1762.0,3,10.178,1.089
s2_dep_down_01,dependency_down,2,measured,-6.1,42,0.0,1240.9,1676.7,1709.2,3,7.834,1.351
s2_dep_down_01,dependency_down,2,measured,-5.1,43,0.0,903.1,1455.6,1569.5,3,5.701,1.612
s2_dep_down_01,dependency_down,2,measured,-4.1,41,0.0,404.4,1090.8,1130.6,3,2.553,2.697
s2_dep_down_01,dependency_down,2,measured,-3.1,43,0.0465,266.2,569.1,736.1,3,1.681,2.138
s2_dep_down_01,dependency_down,2,measured,-2.1,42,0.0,115.0,221.6,259.2,3,0.726,1.927
s2_dep_down_01,dependency_down,2,measured,-1.1,41,0.0244,147.6,276.7,299.0,3,0.932,1.875
s2_dep_down_01,dependency_down,2,measured,-0.1,42,0.0714,175.6,455.9,490.6,3,1.109,2.596
s2_dep_down_01,dependency_down,2,measured,0.9,43,0.0698,200.7,369.8,491.4,3,1.267,1.843
s2_dep_down_01,dependency_down,2,measured,1.9,42,0.4286,286.4,5050.6,5073.7,3,1.808,17.635
s2_dep_down_01,dependency_down,2,measured,2.9,42,1.0,5017.4,5075.3,5100.3,0,31.676,1.012
s2_dep_down_01,dependency_down,2,measured,3.9,42,1.0,5018.3,5173.7,5236.0,0,31.681,1.031
s2_dep_down_01,dependency_down,2,measured,4.9,42,1.0,5021.9,5045.8,5054.0,0,31.704,1.005
s2_dep_down_01,dependency_down,2,measured,5.9,41,1.0,5019.9,5036.7,5513.5,0,31.691,1.003
s2_dep_down_01,dependency_down,2,measured,6.9,28,1.0,5191.0,5465.6,5479.1,0,32.771,1.053
s2_dep_down_01,dependency_down,2,measured,7.9,40,1.0,5015.1,5025.1,5030.2,0,31.661,1.002
s2_dep_down_01,dependency_down,2,measured,8.9,43,1.0,5013.7,5024.2,5030.2,0,31.652,1.002
s2_dep_down_01,dependency_down,2,measured,9.9,40,1.0,5013.1,5027.6,5124.2,0,31.648,1.003
s2_dep_down_01,dependency_down,2,measured,10.9,43,1.0,5016.9,5055.1,5080.8,0,31.672,1.008
s2_dep_down_01,dependency_down,2,measured,11.9,31,1.0,5027.8,5063.5,5071.8,0,31.741,1.007
s2_dep_down_01,dependency_down,2,measured,12.9,40,1.0,5014.6,5026.3,5035.0,0,31.658,1.002
s2_dep_down_01,dependency_down,2,measured,13.9,43,1.0,5013.0,5022.6,5028.0,0,31.648,1.002
s2_dep_down_01,dependency_down,2,measured,14.9,40,1.0,5012.5,5019.4,5120.4,0,31.645,1.001
s2_dep_down_01,dependency_down,2,measured,15.9,43,1.0,5013.5,5047.8,5064.2,0,31.651,1.007
s2_dep_down_01,dependency_down,2,measured,16.9,30,1.0,5046.7,5093.5,5111.5,0,31.86,1.009
s2_dep_down_01,dependency_down,2,measured,17.9,40,1.0,5015.4,5094.7,5120.5,0,31.663,1.016
s2_dep_down_01,dependency_down,2,measured,18.9,45,1.0,5016.0,5072.0,5088.9,0,31.667,1.011
s2_dep_down_01,dependency_down,2,measured,19.9,38,1.0,5012.9,5022.5,5031.5,0,31.647,1.002
s2_dep_down_01,dependency_down,2,measured,20.9,44,1.0,5012.0,5030.8,5051.5,0,31.641,1.004
s2_dep_down_01,dependency_down,2,measured,21.9,40,1.0,5062.1,5142.6,5148.5,0,31.958,1.016
s2_dep_down_01,dependency_down,2,measured,22.9,40,1.0,5014.3,5033.3,5068.2,0,31.656,1.004
s2_dep_down_01,dependency_down,2,measured,23.9,46,1.0,5014.3,5031.4,5116.2,0,31.656,1.003
s2_dep_down_01,dependency_down,2,measured,24.9,39,1.0,5011.3,5017.4,5022.3,0,31.637,1.001
s2_dep_down_01,dependency_down,2,measured,25.9,43,1.0,5011.4,5019.6,5025.6,0,31.638,1.002
s2_dep_down_01,dependency_down,2,measured,26.9,35,1.0,5051.9,5128.9,5145.2,0,31.893,1.015
s2_dep_down_01,dependency_down,2,measured,27.9,44,1.0,5022.6,5097.3,5102.5,0,31.708,1.015
s2_dep_down_01,dependency_down,2,measured,28.9,45,1.0,5090.2,5512.7,5551.3,0,32.135,1.083
s2_dep_down_01,dependency_down,2,measured,29.9,37,1.0,5017.6,5129.1,5158.6,0,31.677,1.022
s2_dep_down_01,dependency_down,2,measured,30.9,41,1.0,5015.1,5036.3,5040.9,0,31.661,1.004
s2_dep_down_01,dependency_down,2,measured,31.9,32,1.0,5234.1,5319.7,5323.5,0,33.044,1.016
s2_dep_down_01,dependency_down,2,measured,32.9,48,1.0,5055.4,5135.2,5146.1,0,31.915,1.016
s2_dep_down_01,dependency_down,2,measured,33.9,48,1.0,5038.1,5394.1,5461.9,0,31.806,1.071
s2_dep_down_01,dependency_down,2,measured,34.9,43,1.0,5037.4,5174.8,5253.2,0,31.802,1.027
s2_dep_down_01,dependency_down,2,measured,35.9,41,1.0,5020.8,5045.3,5047.4,0,31.697,1.005
s2_dep_down_01,dependency_down,2,measured,36.9,6,1.0,5031.3,5061.3,5061.3,0,31.763,1.006
s2_dep_down_01,dependency_down,2,measured,37.9,74,1.0,5231.1,5522.9,6066.7,0,33.025,1.056
s2_dep_down_01,dependency_down,2,measured,38.9,33,1.0,5030.8,5214.4,5222.0,0,31.76,1.036
s2_dep_down_01,dependency_down,2,measured,39.9,59,1.0,5123.7,5211.2,5250.1,0,32.347,1.017
s2_dep_down_01,dependency_down,2,measured,40.9,40,1.0,5107.9,5304.0,5395.3,0,32.247,1.038
s2_dep_down_01,dependency_down,2,measured,41.9,8,1.0,5048.4,5081.6,5081.6,0,31.871,1.007
s2_dep_down_01,dependency_down,2,measured,42.9,59,1.0,5399.2,5633.3,5736.0,0,34.086,1.043
s2_dep_down_01,dependency_down,2,measured,43.9,45,1.0,5048.0,5210.4,5227.0,0,31.869,1.032
s2_dep_down_01,dependency_down,2,measured,44.9,62,1.0,5191.1,5363.1,5391.4,0,32.772,1.033
s2_dep_down_01,dependency_down,2,measured,45.9,54,1.0,5099.0,5321.3,5387.2,0,32.191,1.044
s2_dep_down_01,dependency_down,2,measured,46.9,11,1.0,5036.3,5054.4,5054.4,0,31.795,1.004
s2_dep_down_01,dependency_down,2,measured,47.9,28,1.0,5071.8,5375.3,5385.4,0,32.019,1.06
s2_dep_down_01,dependency_down,2,measured,48.9,80,1.0,5050.8,5223.7,5282.1,0,31.886,1.034
s2_dep_down_01,dependency_down,2,measured,49.9,30,1.0,5022.7,5098.2,5110.9,0,31.709,1.015
s2_dep_slow_01,dependency_slow,2,measured,-20.4,2,0.0,132.8,149.1,149.1,2,1.114,1.123
s2_dep_slow_01,dependency_slow,2,measured,-19.4,3,0.0,114.3,124.5,124.5,2,0.959,1.089
s2_dep_slow_01,dependency_slow,2,measured,-18.4,3,0.0,201.4,288.6,288.6,2,1.69,1.433
s2_dep_slow_01,dependency_slow,2,measured,-17.4,3,0.0,127.3,141.8,141.8,3,1.068,1.114
s2_dep_slow_01,dependency_slow,2,measured,-16.4,3,0.0,123.9,184.0,184.0,2,1.039,1.485
s2_dep_slow_01,dependency_slow,2,measured,-15.4,3,0.0,169.6,185.8,185.8,3,1.423,1.096
s2_dep_slow_01,dependency_slow,2,measured,-14.4,3,0.0,120.1,139.8,139.8,2,1.008,1.164
s2_dep_slow_01,dependency_slow,2,measured,-13.4,3,0.0,111.0,115.2,115.2,2,0.931,1.038
