run_id,fault_type,scenario,data_source,t_rel,req_count,err_rate,p50_ms,p95_ms,max_ms,active_pods,p50_ratio,tail_ratio
s3_net_part_01,network_partition,3,measured,-21.4,24,0.0,116.9,146.8,224.5,3,0.998,1.256
s3_net_part_01,network_partition,3,measured,-20.4,41,0.0244,158.2,277.0,356.0,3,1.35,1.751
s3_net_part_01,network_partition,3,measured,-19.4,43,0.0,164.7,656.4,703.5,3,1.406,3.985
s3_net_part_01,network_partition,3,measured,-18.4,41,0.0,182.4,489.3,518.5,3,1.557,2.683
s3_net_part_01,network_partition,3,measured,-17.4,43,0.0,117.9,187.8,348.1,3,1.006,1.593
s3_net_part_01,network_partition,3,measured,-16.4,42,0.0,110.5,197.1,200.1,3,0.943,1.784
s3_net_part_01,network_partition,3,measured,-15.4,42,0.0238,117.4,166.9,172.2,3,1.002,1.422
s3_net_part_01,network_partition,3,measured,-14.4,41,0.0,126.3,186.5,203.2,3,1.078,1.477
s3_net_part_01,network_partition,3,measured,-13.4,43,0.0,112.9,202.4,221.7,3,0.964,1.793
s3_net_part_01,network_partition,3,measured,-12.4,41,0.0,111.2,208.7,252.3,3,0.949,1.877
s3_net_part_01,network_partition,3,measured,-11.4,43,0.0,108.2,157.4,168.6,3,0.924,1.455
s3_net_part_01,network_partition,3,measured,-10.4,41,0.0,111.3,165.1,170.5,3,0.95,1.483
s3_net_part_01,network_partition,3,measured,-9.4,43,0.0,111.1,197.1,278.8,3,0.948,1.774
s3_net_part_01,network_partition,3,measured,-8.4,42,0.0,112.7,191.7,213.7,3,0.962,1.701
s3_net_part_01,network_partition,3,measured,-7.4,41,0.0,129.0,193.4,277.8,3,1.101,1.499
s3_net_part_01,network_partition,3,measured,-6.4,43,0.0,114.4,174.4,197.9,3,0.977,1.524
s3_net_part_01,network_partition,3,measured,-5.4,42,0.0,141.8,237.2,254.2,3,1.21,1.673
s3_net_part_01,network_partition,3,measured,-4.4,42,0.0,111.1,279.0,291.2,3,0.948,2.511
s3_net_part_01,network_partition,3,measured,-3.4,41,0.0,148.9,315.4,368.6,3,1.271,2.118
s3_net_part_01,network_partition,3,measured,-2.4,43,0.0,115.2,192.5,197.2,3,0.983,1.671
s3_net_part_01,network_partition,3,measured,-1.4,42,0.0238,119.0,181.6,193.0,3,1.016,1.526
s3_net_part_01,network_partition,3,measured,-0.4,42,0.0,141.3,224.2,266.3,3,1.206,1.587
s3_net_part_01,network_partition,3,measured,0.6,42,0.0238,138.2,263.6,291.4,3,1.18,1.907
s3_net_part_01,network_partition,3,measured,1.6,42,0.0238,139.5,209.2,248.8,3,1.191,1.5
s3_net_part_01,network_partition,3,measured,2.6,41,0.0244,185.9,324.1,459.5,3,1.587,1.743
s3_net_part_01,network_partition,3,measured,3.6,42,0.0,156.0,483.2,566.8,3,1.332,3.097
s3_net_part_01,network_partition,3,measured,4.6,43,0.0233,284.1,385.1,451.9,3,2.425,1.356
s3_net_part_01,network_partition,3,measured,5.6,42,0.0,332.1,591.7,1055.0,3,2.835,1.782
s3_net_part_01,network_partition,3,measured,6.6,41,0.0,606.4,769.5,803.2,2,5.176,1.269
