second_epoch,t_rel,clock,sent,ok,err,p50_ms,p95_ms,max_ms,distinct_pods,pods,max_client_lag_s
1786012032,,18:27:12,29,29,0,112.9,183.7,192.0,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012033,,18:27:13,42,42,0,109.5,171.7,222.7,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012034,,18:27:14,42,41,1,111.5,166.4,192.9,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012035,,18:27:15,42,42,0,115.2,233.2,278.7,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012036,,18:27:16,42,42,0,117.4,204.4,253.8,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012037,,18:27:17,42,42,0,113.3,232.0,257.7,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012038,,18:27:18,42,42,0,114.2,220.1,244.6,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012039,,18:27:19,42,42,0,113.6,177.2,208.1,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012040,,18:27:20,42,42,0,137.7,207.7,234.6,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012041,,18:27:21,42,42,0,112.7,172.7,195.8,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012042,,18:27:22,42,42,0,112.0,154.9,167.5,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012043,,18:27:23,42,42,0,111.0,146.5,159.0,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012044,,18:27:24,42,42,0,110.9,168.2,199.5,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012045,,18:27:25,42,42,0,111.4,170.9,200.2,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012046,,18:27:26,42,42,0,139.2,290.5,319.7,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012047,,18:27:27,42,42,0,124.4,237.7,268.9,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012048,,18:27:28,42,42,0,116.2,219.0,249.4,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012049,,18:27:29,42,42,0,117.3,250.5,282.2,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012050,,18:27:30,42,42,0,115.4,207.0,221.5,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012051,,18:27:31,42,42,0,130.5,195.3,224.3,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012052,,18:27:32,42,42,0,110.5,160.1,175.4,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012053,,18:27:33,42,42,0,175.4,355.6,393.4,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012054,,18:27:34,42,41,1,160.4,313.5,366.0,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012055,,18:27:35,42,42,0,141.0,259.0,324.5,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012056,,18:27:36,42,42,0,118.0,186.5,247.1,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012057,,18:27:37,42,42,0,110.7,177.4,216.9,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012058,,18:27:38,42,42,0,110.2,148.9,196.8,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012059,,18:27:39,42,42,0,120.7,250.7,303.8,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012060,,18:27:40,42,42,0,115.0,211.5,224.9,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012061,,18:27:41,42,42,0,114.5,222.5,284.6,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012062,,18:27:42,42,42,0,138.8,257.4,302.5,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012063,,18:27:43,42,42,0,120.3,185.6,224.4,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012064,,18:27:44,42,42,0,127.7,202.1,252.8,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012065,,18:27:45,42,42,0,113.4,196.8,226.7,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012066,,18:27:46,42,42,0,111.9,199.3,255.7,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012067,,18:27:47,42,42,0,113.1,171.8,176.3,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012068,,18:27:48,42,42,0,135.7,254.4,309.3,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012069,,18:27:49,42,42,0,135.4,197.9,244.9,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012070,,18:27:50,42,42,0,112.6,179.7,200.9,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012071,,18:27:51,42,42,0,117.5,219.4,230.6,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012072,,18:27:52,42,42,0,111.3,170.4,201.8,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012073,,18:27:53,42,42,0,115.2,176.7,193.2,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012074,,18:27:54,42,42,0,141.6,247.2,272.4,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012075,,18:27:55,42,42,0,114.8,219.6,269.7,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012076,,18:27:56,42,42,0,115.0,198.2,251.6,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012077,,18:27:57,42,42,0,133.0,230.2,257.8,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012078,,18:27:58,42,42,0,113.1,178.7,199.8,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012079,,18:27:59,42,42,0,113.4,183.9,221.8,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012080,,18:28:00,42,42,0,113.0,202.6,231.3,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012081,,18:28:01,42,42,0,111.8,167.5,200.9,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012082,,18:28:02,42,42,0,113.8,199.2,210.7,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012083,,18:28:03,42,42,0,130.2,235.6,256.3,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012084,,18:28:04,42,42,0,146.0,247.1,352.2,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
1786012085,,18:28:05,42,42,0,124.1,231.2,262.5,3,order-backend-854dc5555d-qb8r7|order-backend-854dc5555d-rrf7x|order-backend-854dc5555d-sxd97,0.0
