second_epoch,t_rel,clock,sent,ok,err,p50_ms,p95_ms,max_ms,distinct_pods,pods,max_client_lag_s
1785922301,,17:31:41,27,27,0,136.3,274.4,286.0,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922302,,17:31:42,42,41,1,111.2,156.9,166.1,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922303,,17:31:43,42,42,0,174.7,320.1,321.5,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922304,,17:31:44,42,39,3,183.7,401.1,496.0,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922305,,17:31:45,42,40,2,134.5,313.6,337.6,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922306,,17:31:46,42,42,0,127.7,194.2,224.8,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922307,,17:31:47,42,42,0,120.3,184.0,225.7,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922308,,17:31:48,42,40,2,228.9,651.8,798.7,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922309,,17:31:49,42,40,2,386.4,499.3,687.1,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922310,,17:31:50,42,38,4,168.0,392.9,440.3,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922311,,17:31:51,42,42,0,134.1,213.2,227.5,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922312,,17:31:52,42,41,1,154.4,283.3,338.0,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922313,,17:31:53,41,39,2,124.1,186.4,188.6,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922314,,17:31:54,43,41,2,120.8,201.9,235.6,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922315,,17:31:55,42,42,0,143.6,234.9,246.8,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922316,,17:31:56,42,42,0,114.8,197.4,223.1,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922317,,17:31:57,42,42,0,124.1,274.9,292.0,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922318,,17:31:58,42,42,0,113.7,168.7,194.1,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922319,,17:31:59,42,42,0,118.8,229.0,275.0,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922320,,17:32:00,42,42,0,120.0,192.1,224.7,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922321,,17:32:01,42,42,0,170.0,312.9,345.3,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922322,,17:32:02,42,42,0,136.4,252.4,284.1,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922323,,17:32:03,42,42,0,111.3,161.8,208.9,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922324,,17:32:04,42,42,0,118.4,224.1,250.1,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922325,,17:32:05,42,42,0,117.2,231.6,308.4,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922326,,17:32:06,42,42,0,131.6,250.8,315.0,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922327,,17:32:07,42,42,0,163.9,226.2,262.7,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922328,,17:32:08,42,41,1,205.1,281.8,364.3,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922329,,17:32:09,42,42,0,271.0,373.7,391.1,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922330,,17:32:10,41,41,0,280.6,512.4,600.6,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922331,,17:32:11,43,43,0,328.6,700.3,754.3,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922332,,17:32:12,42,42,0,609.5,962.4,995.5,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922333,,17:32:13,42,42,0,956.3,1224.1,1249.4,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
1785922334,,17:32:14,42,42,0,1444.0,2194.2,4888.8,3,order-backend-d6977dcc5-4scgp|order-backend-d6977dcc5-6cgxq|order-backend-d6977dcc5-hsx82,0.0
