second_epoch,t_rel,clock,sent,ok,err,p50_ms,p95_ms,max_ms,distinct_pods,pods,max_client_lag_s
1786378056,,00:07:36,5,5,0,126.5,159.7,159.7,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378057,,00:07:37,24,24,0,118.6,197.7,227.9,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378058,,00:07:38,24,23,1,108.6,148.0,196.2,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378059,,00:07:39,24,24,0,108.8,129.8,142.8,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378060,,00:07:40,24,24,0,109.1,125.2,130.8,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378061,,00:07:41,24,24,0,110.3,139.4,161.5,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378062,,00:07:42,24,24,0,109.8,126.3,133.0,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378063,,00:07:43,24,23,1,107.1,125.6,130.5,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378064,,00:07:44,24,24,0,111.0,134.7,138.4,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378065,,00:07:45,24,24,0,109.7,125.1,125.7,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378066,,00:07:46,24,24,0,113.2,151.5,155.2,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378067,,00:07:47,24,24,0,113.4,129.0,135.8,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378068,,00:07:48,24,24,0,112.5,142.2,159.6,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378069,,00:07:49,24,24,0,108.8,116.5,130.4,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378070,,00:07:50,24,24,0,110.3,130.7,133.6,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
1786378071,,00:07:51,24,24,0,110.5,112.4,113.4,3,order-backend-5b566f6495-cvt9f|order-backend-5b566f6495-m7twd|order-backend-5b566f6495-qgtdc,0.0
