second_epoch,t_rel,clock,sent,ok,err,p50_ms,p95_ms,max_ms,distinct_pods,pods,max_client_lag_s
1786377567,,23:59:27,7,7,0,195.0,363.5,363.5,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377568,,23:59:28,42,42,0,118.9,214.2,244.1,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377569,,23:59:29,42,42,0,131.0,224.6,246.2,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377570,,23:59:30,42,42,0,138.7,315.0,387.7,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377571,,23:59:31,42,41,1,127.7,178.8,193.5,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377572,,23:59:32,42,42,0,137.9,221.6,244.4,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377573,,23:59:33,41,41,0,110.5,197.5,249.7,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377574,,23:59:34,43,43,0,111.3,169.2,174.8,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377575,,23:59:35,41,41,0,163.2,267.7,315.2,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377576,,23:59:36,42,42,0,233.2,685.5,744.5,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377577,,23:59:37,43,43,0,257.8,714.3,744.0,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377578,,23:59:38,42,42,0,130.7,490.7,505.6,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377579,,23:59:39,41,41,0,112.2,212.7,240.0,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377580,,23:59:40,42,42,0,108.6,166.8,214.0,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
1786377581,,23:59:41,43,43,0,110.1,200.5,253.3,3,order-backend-6558bf5b47-27hml|order-backend-6558bf5b47-7d9hk|order-backend-6558bf5b47-fsbbt,0.0
