second_epoch,t_rel,clock,sent,ok,err,p50_ms,p95_ms,max_ms,distinct_pods,pods,max_client_lag_s
1786376479,,23:41:19,7,7,0,147.7,228.0,228.0,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376480,,23:41:20,42,42,0,169.1,282.7,321.5,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376481,,23:41:21,43,42,1,122.0,195.2,225.4,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376482,,23:41:22,41,41,0,112.0,169.5,205.2,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376483,,23:41:23,43,43,0,138.0,214.3,279.9,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376484,,23:41:24,41,41,0,110.6,238.1,313.1,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376485,,23:41:25,42,42,0,113.4,162.5,176.5,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376486,,23:41:26,42,42,0,119.8,232.4,255.0,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376487,,23:41:27,42,42,0,121.9,200.5,207.2,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376488,,23:41:28,42,42,0,134.4,2030.3,2185.4,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376489,,23:41:29,43,43,0,2233.3,2854.8,2877.2,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.03
1786376490,,23:41:30,41,41,0,2354.1,2460.0,2523.8,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376491,,23:41:31,42,42,0,2071.9,2228.1,2266.0,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376492,,23:41:32,42,41,1,1681.0,2062.5,2214.1,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376493,,23:41:33,42,42,0,1612.2,1755.4,1762.0,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376494,,23:41:34,42,42,0,1240.9,1676.7,1709.2,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376495,,23:41:35,43,43,0,903.1,1455.6,1569.5,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376496,,23:41:36,41,41,0,404.4,1090.8,1130.6,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376497,,23:41:37,43,41,2,266.2,569.1,736.1,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376498,,23:41:38,42,42,0,115.0,221.6,259.2,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376499,,23:41:39,41,40,1,147.6,276.7,299.0,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376500,,23:41:40,42,39,3,175.6,455.9,490.6,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376501,,23:41:41,43,40,3,200.7,369.8,491.4,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376502,,23:41:42,42,24,18,286.4,5050.6,5073.7,3,order-backend-7bd8975c7-2zz5p|order-backend-7bd8975c7-7jvhk|order-backend-7bd8975c7-8rcxd,0.0
1786376503,,23:41:43,42,0,42,5017.4,5075.3,5100.3,0,,0.0
1786376504,,23:41:44,42,0,42,5018.3,5173.7,5236.0,0,,0.0
1786376505,,23:41:45,42,0,42,5021.9,5045.8,5054.0,0,,0.0
1786376506,,23:41:46,41,0,41,5019.9,5036.7,5513.5,0,,0.0
1786376507,,23:41:47,28,0,28,5191.0,5465.6,5479.1,0,,0.0
1786376508,,23:41:48,40,0,40,5015.1,5025.1,5030.2,0,,0.0
1786376509,,23:41:49,43,0,43,5013.7,5024.2,5030.2,0,,0.0
1786376510,,23:41:50,40,0,40,5013.1,5027.6,5124.2,0,,0.0
1786376511,,23:41:51,43,0,43,5016.9,5055.1,5080.8,0,,0.0
1786376512,,23:41:52,31,0,31,5027.8,5063.5,5071.8,0,,0.0
1786376513,,23:41:53,40,0,40,5014.6,5026.3,5035.0,0,,0.0
1786376514,,23:41:54,43,0,43,5013.0,5022.6,5028.0,0,,0.0
1786376515,,23:41:55,40,0,40,5012.5,5019.4,5120.4,0,,0.0
1786376516,,23:41:56,43,0,43,5013.5,5047.8,5064.2,0,,0.0
1786376517,,23:41:57,30,0,30,5046.7,5093.5,5111.5,0,,0.0
1786376518,,23:41:58,40,0,40,5015.4,5094.7,5120.5,0,,0.0
1786376519,,23:41:59,45,0,45,5016.0,5072.0,5088.9,0,,0.0
1786376520,,23:42:00,38,0,38,5012.9,5022.5,5031.5,0,,0.0
1786376521,,23:42:01,44,0,44,5012.0,5030.8,5051.5,0,,0.0
1786376522,,23:42:02,40,0,40,5062.1,5142.6,5148.5,0,,0.01
1786376523,,23:42:03,40,0,40,5014.3,5033.3,5068.2,0,,0.02
1786376524,,23:42:04,46,0,46,5014.3,5031.4,5116.2,0,,0.0
1786376525,,23:42:05,39,0,39,5011.3,5017.4,5022.3,0,,0.0
1786376526,,23:42:06,43,0,43,5011.4,5019.6,5025.6,0,,0.0
1786376527,,23:42:07,35,0,35,5051.9,5128.9,5145.2,0,,0.0
1786376528,,23:42:08,44,0,44,5022.6,5097.3,5102.5,0,,0.0
1786376529,,23:42:09,45,0,45,5090.2,5512.7,5551.3,0,,0.0
1786376530,,23:42:10,37,0,37,5017.6,5129.1,5158.6,0,,0.0
1786376531,,23:42:11,41,0,41,5015.1,5036.3,5040.9,0,,0.0
1786376532,,23:42:12,32,0,32,5234.1,5319.7,5323.5,0,,0.0
1786376533,,23:42:13,48,0,48,5055.4,5135.2,5146.1,0,,0.0
1786376534,,23:42:14,48,0,48,5038.1,5394.1,5461.9,0,,0.0
1786376535,,23:42:15,43,0,43,5037.4,5174.8,5253.2,0,,0.0
1786376536,,23:42:16,41,0,41,5020.8,5045.3,5047.4,0,,0.0
1786376537,,23:42:17,6,0,6,5031.3,5061.3,5061.3,0,,0.0
1786376538,,23:42:18,74,0,74,5231.1,5522.9,6066.7,0,,0.0
1786376539,,23:42:19,33,0,33,5030.8,5214.4,5222.0,0,,0.0
1786376540,,23:42:20,59,0,59,5123.7,5211.2,5250.1,0,,0.0
1786376541,,23:42:21,40,0,40,5107.9,5304.0,5395.3,0,,0.0
1786376542,,23:42:22,8,0,8,5048.4,5081.6,5081.6,0,,0.0
1786376543,,23:42:23,59,0,59,5399.2,5633.3,5736.0,0,,0.0
1786376544,,23:42:24,45,0,45,5048.0,5210.4,5227.0,0,,0.0
1786376545,,23:42:25,62,0,62,5191.1,5363.1,5391.4,0,,0.0
1786376546,,23:42:26,54,0,54,5099.0,5321.3,5387.2,0,,0.0
1786376547,,23:42:27,11,0,11,5036.3,5054.4,5054.4,0,,0.0
1786376548,,23:42:28,28,0,28,5071.8,5375.3,5385.4,0,,0.0
1786376549,,23:42:29,80,0,80,5050.8,5223.7,5282.1,0,,0.0
1786376550,,23:42:30,30,0,30,5022.7,5098.2,5110.9,0,,0.0
