second_epoch,t_rel,clock,sent,ok,err,p50_ms,p95_ms,max_ms,distinct_pods,pods,max_client_lag_s
1786376305,,23:38:25,2,2,0,132.8,149.1,149.1,2,order-backend-94547bb4f-k4szn|order-backend-94547bb4f-wcvhw,0.0
1786376306,,23:38:26,3,3,0,114.3,124.5,124.5,2,order-backend-94547bb4f-k4szn|order-backend-94547bb4f-wcvhw,0.0
1786376307,,23:38:27,3,3,0,201.4,288.6,288.6,2,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-wcvhw,0.0
1786376308,,23:38:28,3,3,0,127.3,141.8,141.8,3,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-k4szn|order-backend-94547bb4f-wcvhw,0.0
1786376309,,23:38:29,3,3,0,123.9,184.0,184.0,2,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-k4szn,0.0
1786376310,,23:38:30,3,3,0,169.6,185.8,185.8,3,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-k4szn|order-backend-94547bb4f-wcvhw,0.0
1786376311,,23:38:31,3,3,0,120.1,139.8,139.8,2,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-k4szn,0.0
1786376312,,23:38:32,3,3,0,111.0,115.2,115.2,2,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-k4szn,0.0
1786376313,,23:38:33,3,3,0,113.2,137.1,137.1,1,order-backend-94547bb4f-k4szn,0.0
1786376314,,23:38:34,3,3,0,114.2,135.9,135.9,3,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-k4szn|order-backend-94547bb4f-wcvhw,0.0
1786376315,,23:38:35,3,3,0,112.6,129.3,129.3,2,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-wcvhw,0.0
1786376316,,23:38:36,3,3,0,119.2,128.1,128.1,2,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-k4szn,0.0
1786376317,,23:38:37,3,3,0,113.8,116.4,116.4,3,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-k4szn|order-backend-94547bb4f-wcvhw,0.0
1786376318,,23:38:38,3,3,0,109.0,116.7,116.7,2,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-wcvhw,0.0
1786376319,,23:38:39,3,3,0,113.4,118.1,118.1,3,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-k4szn|order-backend-94547bb4f-wcvhw,0.0
1786376320,,23:38:40,3,3,0,116.2,129.5,129.5,2,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-wcvhw,0.0
1786376321,,23:38:41,3,3,0,115.3,118.5,118.5,2,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-k4szn,0.0
1786376322,,23:38:42,3,3,0,119.5,137.1,137.1,2,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-wcvhw,0.0
1786376323,,23:38:43,3,3,0,128.3,128.9,128.9,3,order-backend-94547bb4f-jmvzk|order-backend-94547bb4f-k4szn|order-backend-94547bb4f-wcvhw,0.0
